index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_0,3,C,TTPl_19,C,3
1,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_1,5,D,TTPl_12,C,0
2,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_2,1,D,BPl_4,D,1
3,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_3,0,C,BPl_7,D,5
4,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_4,3,C,TTPl_14,C,3
5,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_5,1,D,BPl_18,D,1
6,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_6,3,C,GPl_13,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_7,1,D,BPl_8,D,1
8,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_8,3,C,RPl_17,C,3
9,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_9,3,C,GPl_9,C,3
10,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_10,5,D,RPl_12,C,0
11,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_11,3,C,GPl_8,C,3
12,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_12,0,C,RPl_10,D,5
13,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_13,0,C,BPl_0,D,5
14,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_14,1,D,BPl_9,D,1
15,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_15,3,C,TTPl_6,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_16,1,D,RPl_19,D,1
17,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_17,3,C,RPl_8,C,3
18,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_18,3,C,GPl_10,C,3
19,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,RPl_19,1,D,RPl_16,D,1
20,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_0,3,C,GPl_1,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_1,5,D,GPl_17,C,0
22,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_2,5,D,TTPl_11,C,0
23,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_3,5,D,TTPl_19,C,0
24,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_4,3,C,GPl_14,C,3
25,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_5,3,C,GPl_7,C,3
26,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,RPl_6,5,D,GPl_19,C,0
