index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_0,3,C,RPl_6,C,3
1,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_1,0,C,RPl_14,D,5
2,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_2,3,C,TTPl_15,C,3
3,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_3,3,C,GPl_3,C,3
4,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_4,0,C,BPl_3,D,5
5,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_5,3,C,GPl_19,C,3
6,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_6,3,C,TTPl_18,C,3
7,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_7,0,C,RPl_16,D,5
8,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_8,3,C,TTPl_16,C,3
9,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_9,3,C,GPl_9,C,3
10,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_10,3,C,GPl_10,C,3
11,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_11,0,C,RPl_18,D,5
12,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_12,3,C,GPl_6,C,3
13,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_13,3,C,TTPl_14,C,3
14,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_14,3,C,TTPl_13,C,3
15,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_15,3,C,TTPl_2,C,3
16,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_16,3,C,TTPl_8,C,3
17,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_17,0,C,BPl_8,D,5
18,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_18,3,C,TTPl_6,C,3
19,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,TTPl_19,0,C,BPl_2,D,5
20,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_0,3,C,GPl_14,C,3
21,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_1,0,C,RPl_9,D,5
22,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_2,3,C,TTPl_7,C,3
23,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_3,3,C,GPl_12,C,3
24,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_4,0,C,BPl_19,D,5
25,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_5,0,C,BPl_11,D,5
26,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_6,3,C,GPl_17,C,3
27,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_7,3,C,TTPl_2,C,3
28,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_8,0,C,BPl_18,D,5
29,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_9,3,C,RPl_17,C,3
30,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_10,3,C,GPl_8,C,3
31,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_11,3,C,GPl_7,C,3
32,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_12,0,C,RPl_1,D,5
33,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_13,0,C,BPl_5,D,5
34,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_14,0,C,BPl_8,D,5
35,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_15,3,C,GPl_15,C,3
36,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_16,0,C,RPl_5,D,5
37,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_17,3,C,GPl_2,C,3
38,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_18,3,C,RPl_12,C,3
39,ipd,ipd,Scenario1,0,1,2021-10-04T16:36,TTPl_19,0,C,BPl_4,D,5
40,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_0,0,C,TTPl_1,D,5
41,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_1,5,D,TTPl_0,C,0
42,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_2,3,C,GPl_8,C,3
43,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_3,0,C,BPl_8,D,5
44,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_4,1,D,RPl_19,D,1
45,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_5,5,D,RPl_9,C,0
46,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_6,3,C,RPl_12,C,3
47,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_7,3,C,TTPl_9,C,3
48,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_8,5,D,GPl_15,C,0
49,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_9,3,C,TTPl_7,C,3
50,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_10,3,C,RPl_8,C,3
51,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_11,0,C,RPl_18,D,5
52,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_12,1,D,TTPl_13,D,1
53,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_13,1,D,TTPl_12,D,1
54,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_14,5,D,RPl_11,C,0
55,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_15,0,C,RPl_10,D,5
56,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_16,1,D,BPl_3,D,1
57,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_17,3,C,GPl_5,C,3
58,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_18,0,C,BPl_18,D,5
59,ipd,ipd,Scenario1,0,2,2021-10-04T16:36,TTPl_19,5,D,RPl_1,C,0
60,ipd,ipd,Scenario1,0,3,2021-10-04T16:36,TTPl_0,5,D,TTPl_1,C,0
61,ipd,ipd,Scenario1,0,3,2021-10-04T16:36,TTPl_1,0,C,TTPl_0,D,5
62,ipd,ipd,Scenario1,0,3,2021-10-04T16:36,TTPl_2,0,C,RPl_7,D,5
63,ipd,ipd,Scenario1,0,3,2021-10-04T16:36,TTPl_3,5,D,GPl_9,C,0
64,ipd,ipd,Scenario1,0,3,2021-10-04T16:36,TTPl_4,5,D,GPl_14,C,0
65,ipd,ipd,Scenario1,0,3,2021-10-04T16:36,TTPl_5,3,C,GPl_7,C,3
